Name, Price
EVGA GeForce RTX 2060 XC BLACK GAMING| 6GB GDDR6| HDB Fan Graphics Card 06G-P4-2061-KR,€336.99 (3 Offers)
MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super Armor OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,€ 502.99
EVGA GeForce RTX 2080 XC GAMING| 08G-P4-2182-KR| 8GB GDDR6| Dual HDB Fans & RGB LED,€ 861.99
ASRock Phantom Gaming X Radeon RX 590 DirectX 12 RX590 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,€ 185.99
GIGABYTE GeForce GTX 1660 Ti GAMING OC 6G Graphics Card| 3 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N166TGAMING OC-6GD Video Card,€285.99 (2 Offers)
GIGABYTE GeForce GTX 1660 Ti MINI ITX OC 6G Graphics Card| Mini ITX Form Factor| 6GB 192-Bit GDDR6| GV-N166TIXOC-6GD Video Card,€265.99 (3 Offers)
EVGA GeForce RTX 2080 SUPER XC HYBRID GAMING| 08G-P4-3188-KR| 8GB GDDR6| RGB LED Logo| Metal Backplate,€743.99 (3 Offers)
GIGABYTE GeForce RTX 2080 Super WINDFORCE OC 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N208SWF3OC-8GD Video Card,€682.99 (2 Offers)
MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,€337.99 (2 Offers)
MSI GeForce RTX 2080 DUKE 8G OC Video Card,€ 761.82
EVGA GeForce RTX 2060 XC GAMING| 6GB GDDR6| HDB Fan Graphics Card 06G-P4-2063-KR,€350.69 (2 Offers)
GIGABYTE Radeon RX 5700 XT 8G Graphics Card| PCIe 4.0| 8GB 256-Bit GDDR6| GV-R57XT-8GD-B Video Card,€ 379.99
GIGABYTE GeForce RTX 2080 Super GAMING OC 8G (Rev 2.0) Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N208SGAMING OC-8GC Video Card,€ 697.99
Sapphire Video Card 11265-01-20G NITRO+ RX 580 8GB GDDR5 PCI Express HDMI/DisplayPort/DL-DVI-D with Backplate,€ 350.92
XFX Radeon RX 5700 XT THICC II ULTRA RX-57XT828D6 8GB 256-Bit GDDR6 PCI Express 4.0 Video Card,€ 406.99
EVGA GeForce 8400 GS DirectX 10 01G-P3-1302-LR 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Video Card,€39.99 (3 Offers)
ASUS Radeon RX 560 4GB EVO OC Edition GDDR5 DP HDMI DVI AMD Graphics Card (RX560-O4G-EVO),€ 246.73
MSI GeForce RTX 2070 DirectX 12 RTX 2070 GAMING X 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,€ 464.99
ASRock Radeon RX 5700 DirectX 12 RX 5700 8G 8GB 256-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card,€ 330.99
EVGA GeForce GTX 1660 Ti XC GAMING| 06G-P4-1263-KR| 6GB GDDR6| HDB Fan,€280.99 (3 Offers)
MSI Radeon RX 560 DirectX 12 Radeon RX 560 4GT LP OC 4GB 128-Bit GDDR5 PCI Express x16 (Uses x8) HDCP Ready CrossFireX Support Low Profile Video Card,€ 242.22
XFX Radeon RX 550 DirectX 12 RX-550P2SFG5 2GB 128-Bit GDDR5 PCI-E Video Card,€ 106.99
GIGABYTE GeForce GTX 1650 OC 4G Graphics Card| 2 x WINDFORCE Fans| 4GB 128-Bit GDDR5| GV-N1650OC-4GD Video Card,€163.99 (3 Offers)
MSI GeForce RTX 2080 DirectX 12 RTX 2080 VENTUS 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,€ 918.51
GIGABYTE GeForce RTX 2080 SUPER DirectX 12 GV-N208STURBO-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,€667.99 (2 Offers)
MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Gaming X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,€711.99 (3 Offers)
MSI Radeon RX 550 DirectX 12 RX 550 AERO ITX 4G OC 4GB 128-Bit GDDR5 PCI Express x16 (Uses x8) HDCP Ready Video Card,€ 132.99
ASUS Dual GeForce RTX 2080 DirectX 12 DUAL-RTX2080-O8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,€ 613.99
GIGABYTE GeForce RTX 2060 Super WINDFORCE OC 8G Graphics Card| 2 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N206SWF2OC-8GD Rev 2.0 Video Card,€ 379.99
GIGABYTE GeForce RTX 2060 DirectX 12 GV-N2060WF2OC-6GD R2 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,€324.99 (2 Offers)
Visiontek Radeon HD 7750 SFF 1GB DDR3 3M (2 x HDMI| Mini DP)| 900574,€145.97 (3 Offers)
EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2384-KR 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready XC HYBRID GAMING| 11GB GDDR6| HYBRID & RGB LED,€1.327.99
EVGA GeForce RTX 2070 XC BLACK EDITION GAMING| 08G-P4-2071-KR| 8GB GDDR6| Dual HDB Fans & RGB LED,€ 546.99
EVGA GeForce GTX 1660 XC Ultra GAMING| 06G-P4-1167-KR| 6GB GDDR5| Dual HDB Fans,€ 337.68
SAPPHIRE PULSE Radeon RX 570 DirectX 12 11266-36-20G 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Cards,€ 359.61
MSI GeForce RTX 2080 DirectX 12 RTX 2080 VENTUS 8G OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,€654.99 (3 Offers)
EVGA GeForce RTX 2060 GAMING| 06G-P4-2060-KR| 6GB GDDR6| HDB Fan,€311.99 (3 Offers)
